sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
FTSJ1_3862	FTSJ1	921	795	758	467	134	0	1407	20	287
SERPIND1_9825	SERPIND1	1821	1754	440	467	0	0	0	0	0
HCRTR2_4548	HCRTR2	2887	2964	569	198	0	55	0	5	16
TRMT2B_11370	TRMT2B	372	664	2073	769	46	994	0	1993	64
GANAB_4139	GANAB	1651	1955	782	571	640	14	8	0	2
HPRT1_4784	HPRT1	725	603	890	153	165	3	1	1	3960
LHCGR_6387	LHCGR	598	562	920	462	34	4	26	0	135
FLT4_3735	FLT4	1430	1871	826	596	70	8	0	1	18
TRPM8_11523	TRPM8	2249	2483	392	160	762	34	150	0	0
U2AF1_11734	U2AF1	206	260	276	0	7	0	0	0	31
MEPCE_6780	MEPCE	4425	4100	610	187	58	1423	4	0	0
HMGA2_4716	HMGA2	61	12	350	320	0	0	0	227	1
ITGAV_5303	ITGAV	466	567	276	305	0	564	43	54	1
PKN1_8259	PKN1	2914	2504	465	42	0	0	0	0	1
ALDH2_445	ALDH2	79	78	844	880	15	364	33	77	11
SETD7_9896	SETD7	79	87	810	823	3	0	35	126	16
CACNB1_1717	CACNB1	3352	3823	813	522	10	84	18	262	10
KCNA5_5583	KCNA5	1359	1523	510	124	7	0	0	0	0
ELP3_3153	ELP3	26	3	1103	726	230	0	0	0	186
KIAA1456_6190	KIAA1456	31	0	407	256	156	13343	3	6	1
SMYD1_10352	SMYD1	35	42	81	154	17	3	18	1	173
TET2_10855	TET2	285	227	608	623	87	27	127	2492	2
CACNA1I_1677	CACNA1I	281	242	1043	489	368	1	0	3	6
PPP5C_8530	PPP5C	2322	2745	731	391	4	0	122	0	0
TH_10943	TH	185	145	267	151	57	0	0	0	0
MTTP_7344	MTTP	5039	4965	1180	870	0	2	3537	7	1
MMP15_6992	MMP15	189	280	373	338	0	0	0	0	16
PRLR_8684	PRLR	281	257	548	674	8	174	26	169	16
luciferase:1293-1312_luciferase_-_6433	luciferase:1293-1312_luciferase_-	185	141	999	698	108	0	55	8	25
PTGER1_8940	PTGER1	2283	1465	202	208	0	0	0	0	0
TRMT12_11289	TRMT12	390	371	587	272	45	4	6174	84	32
GABBR1_3928	GABBR1	64	113	916	526	140	25	22835	89	1
PSMB2_8873	PSMB2	693	895	1011	9	0	0	15	42	0
NPR1_7544	NPR1	400	773	421	146	13	140	64	0	0
DRD1_2988	DRD1	522	664	776	297	0	5	0	0	3
METTL4_6876	METTL4	58	0	856	533	1236	0	0	0	8
CHRNA10_2319	CHRNA10	454	386	907	488	990	5	1	0	6
IFIH1_5002	IFIH1	86	59	1131	604	1	0	0	0	0
MMP2_7035	MMP2	243	312	570	357	1	79	34	0	235
USP7_11933	USP7	613	574	1283	590	27	0	0	16	1
NR3C2_7586	NR3C2	1	21	890	746	82	4	61	1	1
PPM1F_8504	PPM1F	12	0	150	223	6	75	336	0	96
FGFR4_3700	FGFR4	212	226	862	352	14	2	10	88	0
FCGR2A_3571	FCGR2A	62	68	413	290	11	0	13	0	0
TRMT61B_11500	TRMT61B	163	342	589	491	16	6703	365	89	1208
TAF1L_10713	TAF1L	1392	1422	512	366	45	62	1060	3	2
GABRB3_4024	GABRB3	34	15	749	56	91	0	1	0	25
MMP13_6969	MMP13	994	1197	86	45	0	4	0	0	10
IRF7_5263	IRF7	1252	1449	545	185	0	14	0	1	1
MMP3_7123	MMP3	63	97	1286	888	12	12	18	0	5
KCNA4_5577	KCNA4	1628	1367	1378	1050	2853	3	64	3	19
GLRA1_4241	GLRA1	20	26	673	700	263	27	0	0	15
CAMLG_1790	CAMLG	61	66	1212	658	0	91	283	0	22
CREBBP_2546	CREBBP	551	650	552	255	16	1	0	0	42
HCRTR2_4540	HCRTR2	45	1	1041	631	90	5	0	0	0
PRMT6_8812	PRMT6	275	232	282	416	8	0	217	2	2
HCRTR1_4535	HCRTR1	39	32	742	402	437	140	47	1	0
TNFSF13B_11076	TNFSF13B	798	637	1008	515	1332	105	1078	70	212
MMP26_7094	MMP26	397	358	1980	1313	5230	200	2321	86	3
SMYD3_10378	SMYD3	2206	2845	459	556	13	457	2	215	26
USP28_11869	USP28	232	300	1606	1057	15399	53	609	0	1
GABRA2_3950	GABRA2	32	2	804	764	70	46	11880	88	5
GLRA2_4253	GLRA2	17	0	796	706	1	12	0	0	2
KIAA1456_6189	KIAA1456	125	135	1438	801	677	1	65	0	9
CPT1A_2514	CPT1A	1	3	1121	728	166	56	1528	91	22
YTHDC2_12296	YTHDC2	458	362	635	380	3	7	0	1	0
ADORA1_278	ADORA1	2286	1986	408	246	8	0	0	0	3
MTTP_7338	MTTP	1846	1669	562	555	11419	0	0	12	3
KCNJ8_5742	KCNJ8	489	869	1149	927	14	34	0	0	6
CHRM1_2274	CHRM1	161	141	1433	844	9	12	0	0	2
BRD4_1318	BRD4	1999	2067	487	115	0	16	1	1	3
TPK1_11143	TPK1	25	0	579	115	22	1	0	0	2
CDY2A_2194	CDY2A	2252	3072	281	284	34	3	0	0	2
AVPR1A_1035	AVPR1A	759	807	393	146	1	832	31	8	1
CARM1_1800	CARM1	235	164	1210	454	305	7	3	0	1
KDM2A_5945	KDM2A	8	0	580	635	24	2	48	0	2
KIAA1456_6167	KIAA1456	2005	2077	871	821	2710	0	53	0	1
SLC6A3_10257	SLC6A3	1891	1434	765	379	8	112	0	12	7
CD276_1984	CD276	13	0	319	186	108	0	0	2	0
AR_739	AR	2240	2414	1403	754	1371	0	3177	16	0
AAVS0072_72	AAVS	104	36	87	98	0	0	0	0	0
PDCD1LG2_8008	PDCD1LG2	2769	2950	620	564	99	26	26	0	5
ADORA2A_282	ADORA2A	1161	1166	1221	585	113	6788	162	15	184
CDKAL1_2163	CDKAL1	29	2	1937	660	1179	1865	1	936	2
MME_6918	MME	40	54	1312	870	73	18	145	84	1
CACNB3_1736	CACNB3	36	2	1354	537	85	32	364	346	44
JUN_5426	JUN	313	335	722	382	1506	32	13	7	7
HTR3A_4925	HTR3A	39	10	450	457	12	13	0	1	0
MMP21_7054	MMP21	36	1	587	682	1	3	1	0	0
FTSJ3_3894	FTSJ3	130	194	2730	1230	105	73	1	9	344
ALAD_432	ALAD	31	2	770	324	1	137	72	79	8
LEF1_6351	LEF1	121	102	778	709	598	52	1	12	0
MRM1_7226	MRM1	19	12	999	434	623	1051	1266	6	11
UBE2E1_11767	UBE2E1	22	63	2280	1418	448	1478	377	9544	304
PROS1_8843	PROS1	135	72	866	345	82	4	253	1	7
ALKBH8_602	ALKBH8	925	1119	1076	1370	3	9	98	3	254
DRD1_2989	DRD1	427	636	1320	599	1069	14	97	0	16
IL2RB_5132	IL2RB	19	1	877	619	128	0	13	0	0
TRMT10B_11252	TRMT10B	358	373	529	60	109	109	1	0	1
TRMT2B_11392	TRMT2B	169	58	435	357	1	0	1	0	0
JAK3_5393	JAK3	1499	1204	608	311	6	96	0	0	115
FTO_3824	FTO	57	12	1815	1629	1178	6	1395	4	0
